,congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
108,80,house,K000041,Frank,Bateman,Keefe,,1887-09-23,WI,R,Yes,1947-01-03,59.3
109,80,house,M001062,Frederick,Augustus,Muhlenberg,,1887-09-25,PA,R,No,1947-01-03,59.3
110,80,house,H000663,Samuel,Francis,Hobbs,,1887-10-05,AL,D,Yes,1947-01-03,59.2
111,80,house,M001112,Reid,Fred,Murray,,1887-10-16,WI,R,Yes,1947-01-03,59.2
112,80,house,E000178,Albert,Joseph,Engel,,1888-01-01,MI,R,Yes,1947-01-03,59.0
113,80,house,R000083,Leo,Frederick,Rayfiel,,1888-03-22,NY,D,Yes,1947-01-03,58.8
114,80,house,J000157,Justin,Leroy,Johnson,,1888-04-08,CA,R,Yes,1947-01-03,58.7
115,80,house,C000889,Fred,Lewis,Crawford,,1888-05-05,MI,R,Yes,1947-01-03,58.7
116,80,house,C000264,Emanuel,,Celler,,1888-05-06,NY,D,Yes,1947-01-03,58.7
117,80,house,W000304,Milton,Horace,West,,1888-06-30,TX,D,Yes,1947-01-03,58.5
118,80,house,N000097,Donald,William,Nicholson,,1888-08-11,MA,R,No,1947-01-03,58.4
119,80,house,M000442,Robert,Neill,McGarvey,,1888-08-14,PA,R,No,1947-01-03,58.4
120,80,house,L000077,Henderson,Lovelace,Lanham,,1888-09-14,GA,D,No,1947-01-03,58.3
121,80,house,G000379,Walter,Keil,Granger,,1888-10-11,UT,D,Yes,1947-01-03,58.2
122,80,house,G000493,Chester,Heilman,Gross,,1888-10-13,PA,R,Yes,1947-01-03,58.2
123,80,house,H000443,James,Joseph,Heffernan,,1888-11-08,NY,D,Yes,1947-01-03,58.1
124,80,house,K000030,Bernard,William,Kearney,,1889-05-23,NY,R,Yes,1947-01-03,57.6
125,80,house,C000655,Jesse,Martin,Combs,,1889-07-07,TX,D,Yes,1947-01-03,57.5
126,80,house,A000250,Walter,Gresham,Andrews,,1889-07-16,NY,R,Yes,1947-01-03,57.5
127,80,house,F000075,Ivor,David,Fenton,,1889-08-03,PA,R,Yes,1947-01-03,57.4
128,80,house,R000319,Charles,Raymond,Robertson,,1889-09-05,ND,R,Yes,1947-01-03,57.3
129,80,house,C000810,William,Wirt,Courtney,,1889-09-07,TN,D,Yes,1947-01-03,57.3
130,80,house,D000281,Wesley,Abner,D'Ewart,,1889-10-01,MT,R,Yes,1947-01-03,57.3
131,80,house,G000543,John,Williams,Gwynne,,1889-10-20,IA,R,Yes,1947-01-03,57.2
132,80,house,F000066,Frank,,Fellows,,1889-11-07,ME,R,Yes,1947-01-03,57.2
133,80,house,M000037,William,Kingsland,Macy,,1889-11-21,NY,R,No,1947-01-03,57.1
134,80,house,H000036,Robert,,Hale,,1889-11-29,ME,R,Yes,1947-01-03,57.1
135,80,house,C000645,William,Meyers,Colmer,,1890-02-11,MS,D,Yes,1947-01-03,56.9
136,80,house,G000111,Bertrand,Wesley,Gearhart,,1890-05-31,CA,R,Yes,1947-01-03,56.6
137,80,house,R000111,Chauncey,William,Reed,,1890-06-02,IL,R,Yes,1947-01-03,56.6
138,80,house,C000993,Paul,Harvey,Cunningham,,1890-06-15,IA,R,Yes,1947-01-03,56.6
139,80,house,B001024,Charles,Anthony,Buckley,,1890-06-23,NY,D,Yes,1947-01-03,56.5
140,80,house,B000486,Cecil,William,Bishop,,1890-06-29,IL,R,Yes,1947-01-03,56.5
141,80,house,L000095,Henry,Dominique,Larcade,Jr.,1890-07-12,LA,D,Yes,1947-01-03,56.5
142,80,house,S000797,Thomas,Bahnson,Stanley,,1890-07-16,VA,D,Yes,1947-01-03,56.5
143,80,house,M000233,Frank,Asbury,Mathews,Jr.,1890-08-03,NJ,R,Yes,1947-01-03,56.4
144,80,house,C000473,Charles,Russell,Clason,,1890-09-03,MA,R,Yes,1947-01-03,56.3
145,80,house,A000239,August,Herman,Andresen,,1890-10-11,MN,R,Yes,1947-01-03,56.2
146,80,house,A000114,Asa,Leonard,Allen,,1891-01-05,LA,D,Yes,1947-01-03,56.0
147,80,house,M000727,George,Paul,Miller,,1891-01-15,CA,D,Yes,1947-01-03,56.0
148,80,house,B000232,George,Joseph,Bates,,1891-02-25,MA,R,Yes,1947-01-03,55.9
149,80,house,R000022,Homer,Alonzo,Ramey,,1891-03-02,OH,R,Yes,1947-01-03,55.8
150,80,house,P000002,Stephen,,Pace,,1891-03-09,GA,D,Yes,1947-01-03,55.8
151,80,house,W000450,Richard,Bowditch,Wigglesworth,,1891-04-25,MA,R,Yes,1947-01-03,55.7
152,80,house,B000621,Herbert,Covington,Bonner,,1891-05-16,NC,D,Yes,1947-01-03,55.6
153,80,house,M000021,Russell,Vernon,Mack,,1891-06-13,WA,R,No,1947-01-03,55.6
154,80,house,S000923,William,Grady,Stigler,,1891-07-07,OK,D,Yes,1947-01-03,55.5
155,80,house,E000160,Charles,Henry,Elston,,1891-08-01,OH,R,Yes,1947-01-03,55.4
156,80,house,W000252,Alvin,F.,Weichel,,1891-09-11,OH,R,Yes,1947-01-03,55.3
157,80,house,S000896,William,Henry,Stevenson,,1891-09-23,WI,R,Yes,1947-01-03,55.3
158,80,house,B000119,Parke,Monroe,Banta,,1891-11-21,MO,R,No,1947-01-03,55.1
159,80,house,M000364,John,William,McCormack,,1891-12-21,MA,D,Yes,1947-01-03,55.0
160,80,house,T000028,Henry,Oscar,Talle,,1892-01-12,IA,R,Yes,1947-01-03,55.0
161,80,house,P000285,Joseph,Lawrence,Pfeifer,,1892-02-06,NY,D,Yes,1947-01-03,54.9
162,80,house,M000039,Ray,John,Madden,,1892-02-25,IN,D,Yes,1947-01-03,54.9
163,80,house,G000091,Julian,Vaughan,Gary,,1892-02-25,VA,D,Yes,1947-01-03,54.9
164,80,house,E000029,Herman,Peter,Eberharter,,1892-04-29,PA,D,Yes,1947-01-03,54.7
165,80,house,M000715,Arthur,Lewis,Miller,,1892-05-24,NE,R,Yes,1947-01-03,54.6
166,80,house,B000794,Walter,Ellsworth,Brehm,,1892-05-25,OH,R,Yes,1947-01-03,54.6
167,80,house,B001016,Ellsworth,Brewer,Buck,,1892-07-03,NY,R,Yes,1947-01-03,54.5
168,80,house,R000288,Ross,,Rizley,,1892-07-05,OK,R,Yes,1947-01-03,54.5
169,80,house,C000070,Albert,Sidney,Camp,,1892-07-26,GA,D,Yes,1947-01-03,54.4
170,80,house,D000571,Carl,Thomas,Durham,,1892-08-28,NC,D,Yes,1947-01-03,54.3
171,80,house,S000585,Lawrence,Henry,Smith,,1892-09-15,WI,R,Yes,1947-01-03,54.3
172,80,house,S000640,Wint,,Smith,,1892-10-07,KS,R,No,1947-01-03,54.2
173,80,house,J000058,Peterson,Bryant,Jarman,,1892-10-31,AL,D,Yes,1947-01-03,54.2
174,80,house,B000176,Frank,Aloysius,Barrett,,1892-11-10,WY,R,Yes,1947-01-03,54.1
175,80,house,J000100,Benton,Franklin,Jensen,,1892-12-16,IA,R,Yes,1947-01-03,54.0
176,80,house,M000199,Thomas,Ellsworth,Martin,,1893-01-18,IA,R,Yes,1947-01-03,54.0
177,80,house,B000999,Joseph,Raleigh,Bryson,,1893-01-18,SC,D,Yes,1947-01-03,54.0
178,80,house,G000102,Leon,Harry,Gavin,,1893-02-25,PA,R,Yes,1947-01-03,53.9
179,80,house,W000668,Jesse,Paine,Wolcott,,1893-03-03,MI,R,Yes,1947-01-03,53.8
180,80,house,R000140,Kenneth,Mills,Regan,,1893-03-06,TX,D,No,1947-01-03,53.8
181,80,house,H000284,Edward,Joseph,Hart,,1893-03-25,NJ,D,Yes,1947-01-03,53.8
182,80,house,G000472,Percy,Wilfred,Griffiths,,1893-03-30,OH,R,Yes,1947-01-03,53.8
183,80,house,K000170,Clarence,Evans,Kilburn,,1893-04-13,NY,R,Yes,1947-01-03,53.7
184,80,house,S000277,Paul,Werntz,Shafer,,1893-04-27,MI,R,Yes,1947-01-03,53.7
185,80,house,L000519,Georgia,Lee,Lusk,,1893-05-12,NM,D,No,1947-01-03,53.6
186,80,house,H000768,Clifford,Ragsdale,Hope,,1893-06-09,KS,R,Yes,1947-01-03,53.6
187,80,house,B000909,Clarence,J.,Brown,,1893-07-14,OH,R,Yes,1947-01-03,53.5
188,80,house,C000755,Jere,,Cooper,,1893-07-20,TN,D,Yes,1947-01-03,53.5
189,80,house,P000103,John,William Wright,Patman,,1893-08-06,TX,D,Yes,1947-01-03,53.4
190,80,house,J000225,Homer,Raymond,Jones,,1893-09-03,WA,R,No,1947-01-03,53.3
191,80,house,L000161,Jay,,Le Fevre,,1893-09-06,NY,R,Yes,1947-01-03,53.3
192,80,house,K000029,Robert,Winthrop,Kean,,1893-09-28,NJ,R,Yes,1947-01-03,53.3
193,80,house,S000067,Lansdale,Ghiselin,Sasscer,,1893-09-30,MD,D,Yes,1947-01-03,53.3
194,80,house,C000192,Henderson,Haverfield,Carson,,1893-10-25,OH,R,No,1947-01-03,53.2
195,80,house,B000237,Joseph,Bengal,Bates,,1893-10-29,KY,D,Yes,1947-01-03,53.2
196,80,house,G000316,Thomas,Sylvy,Gordon,,1893-12-17,IL,D,Yes,1947-01-03,53.0
197,80,house,D000354,John,David,Dingell,,1894-02-02,MI,D,Yes,1947-01-03,52.9
198,80,house,T000373,James,William,Trimble,,1894-02-03,AR,D,Yes,1947-01-03,52.9
199,80,house,P000261,James,Hardin,Peterson,,1894-02-11,FL,D,Yes,1947-01-03,52.9
200,80,house,W000108,Francis,Eugene,Walter,,1894-05-26,PA,D,Yes,1947-01-03,52.6
201,80,house,B000271,James,Glenn,Beall,,1894-06-05,MD,R,Yes,1947-01-03,52.6
202,80,house,L000537,Walter,Aloysius,Lynch,,1894-07-07,NY,D,Yes,1947-01-03,52.5
203,80,house,S000764,Katharine,Price Collier,St. George,,1894-07-12,NY,R,No,1947-01-03,52.5
204,80,house,H000640,John,Carl Williams,Hinshaw,,1894-07-28,CA,R,Yes,1947-01-03,52.4
205,80,house,M001114,Thomas,Jefferson,Murray,,1894-08-01,TN,D,Yes,1947-01-03,52.4
206,80,house,H000442,Erland,Harold,Hedrick,,1894-08-09,WV,D,Yes,1947-01-03,52.4
207,80,house,D000403,James,Isaac,Dolliver,,1894-08-31,IA,R,Yes,1947-01-03,52.3
208,80,house,R000214,James,Prioleau,Richards,,1894-08-31,SC,D,Yes,1947-01-03,52.3
209,80,house,S000437,Sidney,Elmer,Simpson,,1894-09-20,IL,R,Yes,1947-01-03,52.3
210,80,house,M000414,Gordon,Leo,McDonough,,1895-01-02,CA,R,Yes,1947-01-03,52.0
211,80,house,T000175,John,Parnell,Thomas,,1895-01-16,NJ,R,Yes,1947-01-03,52.0
212,80,house,O000056,Joseph,Patrick,O'Hara,,1895-01-23,MN,R,Yes,1947-01-03,51.9
213,80,house,M000724,Edward,Tylor,Miller,,1895-02-01,MD,R,No,1947-01-03,51.9
214,80,house,R000260,John,Jacob,Riley,,1895-02-01,SC,D,Yes,1947-01-03,51.9
215,80,house,B001161,Fred,Ernst,Busbey,,1895-02-08,IL,R,No,1947-01-03,51.9
216,80,house,L000052,Gerald,Wayne,Landis,,1895-02-23,IN,R,Yes,1947-01-03,51.9
217,80,house,C000317,Virgil,Munday,Chapman,,1895-03-15,KY,D,Yes,1947-01-03,51.8
218,80,house,S000676,Andrew,Lawrence,Somers,,1895-03-21,NY,D,Yes,1947-01-03,51.8
219,80,house,H000548,Christian,Archibald,Herter,,1895-03-28,MA,R,Yes,1947-01-03,51.8
220,80,house,H000678,Charles,Bernard,Hoeven,,1895-03-30,IA,R,Yes,1947-01-03,51.8
221,80,house,D000109,James,Curran,Davis,,1895-05-17,GA,D,No,1947-01-03,51.6
222,80,house,F000255,Aime,Joseph,Forand,,1895-05-23,RI,D,Yes,1947-01-03,51.6
223,80,house,E000119,Alfred,James,Elliott,,1895-06-01,CA,D,Yes,1947-01-03,51.6
224,80,house,H000217,Forest,Arthur,Harness,,1895-06-24,IN,R,Yes,1947-01-03,51.5
225,80,house,P000475,C.,Norris,Poulson,,1895-07-23,CA,R,No,1947-01-03,51.4
226,80,house,F000404,Hadwen,Carlton,Fuller,,1895-08-28,NY,R,Yes,1947-01-03,51.3
227,80,house,V000003,Richard,Bernard,Vail,,1895-08-31,IL,R,No,1947-01-03,51.3
228,80,house,G000135,Charles,Lewis,Gerlach,,1895-09-14,PA,R,Yes,1947-01-03,51.3
229,80,house,A000216,Leslie,Cornelius,Arends,,1895-09-27,IL,R,Yes,1947-01-03,51.3
230,80,house,D000360,Everett,McKinley,Dirksen,,1896-01-04,IL,R,Yes,1947-01-03,51.0
231,80,house,J000086,Mitchell,,Jenkins,,1896-01-24,PA,R,No,1947-01-03,50.9
232,80,house,R000002,Benjamin,J.,Rabin,,1896-06-03,NY,D,Yes,1947-01-03,50.6
233,80,house,V000119,John,Martin,Vorys,,1896-06-16,OH,R,Yes,1947-01-03,50.5
234,80,house,T000198,Clark,Wallace,Thompson,,1896-08-06,TX,D,No,1947-01-03,50.4
235,80,house,N000137,William,Frank,Norrell,,1896-08-29,AR,D,Yes,1947-01-03,50.3
236,80,house,B000139,Graham,Arthur,Barden,,1896-09-25,NC,D,Yes,1947-01-03,50.3
237,80,house,B000356,George,Harrison,Bender,,1896-09-29,OH,R,Yes,1947-01-03,50.3
238,80,house,M000460,J.,Harry,McGregor,,1896-09-30,OH,R,Yes,1947-01-03,50.3
239,80,house,C000221,Francis,Higbee,Case,,1896-12-09,SD,R,Yes,1947-01-03,50.1
240,80,house,A000179,Herman,Carl,Andersen,,1897-01-27,MN,R,Yes,1947-01-03,49.9
241,80,house,T000444,Robert,Joseph,Twyman,,1897-06-18,IL,R,No,1947-01-03,49.5
242,80,house,G000381,George,McInvale,Grant,,1897-07-11,AL,D,Yes,1947-01-03,49.5
243,80,house,C000736,Harold,Dunbar,Cooley,,1897-07-26,NC,D,Yes,1947-01-03,49.4
244,80,house,C000346,John,Edgar,Chenoweth,,1897-08-17,CO,R,Yes,1947-01-03,49.4
245,80,house,C000614,William,Clay,Cole,,1897-08-29,MO,R,Yes,1947-01-03,49.3
246,80,house,G000447,Noble,Jones,Gregory,,1897-08-30,KY,D,Yes,1947-01-03,49.3
247,80,house,F000034,Joseph,Rider,Farrington,,1897-10-15,HI,R,Yes,1947-01-03,49.2
248,80,house,D000094,Clifford,,Davis,,1897-11-18,TN,D,Yes,1947-01-03,49.1
249,80,house,S000590,Margaret,Chase,Smith,,1897-12-14,ME,R,Yes,1947-01-03,49.1
250,80,house,O000160,Thomas,Leonard,Owens,,1897-12-21,IL,R,No,1947-01-03,49.0
251,80,house,B000884,Overton,,Brooks,,1897-12-21,LA,D,Yes,1947-01-03,49.0
252,80,house,F000250,Ellsworth,Bishop,Foote,,1898-01-12,CT,R,No,1947-01-03,49.0
253,80,house,K000196,Cecil,Rhodes,King,,1898-01-13,CA,D,Yes,1947-01-03,49.0
254,80,house,H000550,William,Emil,Hess,,1898-02-13,OH,R,Yes,1947-01-03,48.9
255,80,house,S000194,Errett,Power,Scrivner,,1898-03-20,KS,R,Yes,1947-01-03,48.8
256,80,house,S000377,Dewey,Jackson,Short,,1898-04-07,MO,R,Yes,1947-01-03,48.7
257,80,house,B000742,Frederick,Van Ness,Bradley,,1898-04-12,MI,R,Yes,1947-01-03,48.7
258,80,house,M000568,John,Lanneau,McMillan,,1898-04-12,SC,D,Yes,1947-01-03,48.7
259,80,house,T000156,Albert,,Thomas,,1898-04-12,TX,D,Yes,1947-01-03,48.7
260,80,house,C000113,Gordon,,Canfield,,1898-04-15,NJ,R,Yes,1947-01-03,48.7
261,80,house,C000804,Frederic,René,Coudert,Jr.,1898-05-07,NY,R,No,1947-01-03,48.7
262,80,house,D000004,Paul,Bartram,Dague,,1898-05-19,PA,R,No,1947-01-03,48.6
263,80,house,P000303,Philip,Joseph,Philbin,,1898-05-29,MA,D,Yes,1947-01-03,48.6
264,80,house,A000163,James,Lindsay,Almond,Jr.,1898-06-15,VA,D,Yes,1947-01-03,48.6
265,80,house,L000065,Thomas,Joseph,Lane,,1898-07-06,MA,D,Yes,1947-01-03,48.5
266,80,house,K000341,John,Crain,Kunkel,,1898-07-21,PA,R,Yes,1947-01-03,48.5
267,80,house,H000405,Lawrence,Brooks,Hays,,1898-08-09,AR,D,Yes,1947-01-03,48.4
268,80,house,J000278,Walter,Henry,Judd,,1898-09-25,MN,R,Yes,1947-01-03,48.3
269,80,house,A000138,Leo,Elwood,Allen,,1898-10-05,IL,R,Yes,1947-01-03,48.2
270,80,house,H000786,Walter,Franklin,Horan,,1898-10-15,WA,R,Yes,1947-01-03,48.2
271,80,house,S000670,Melvin,Claude,Snyder,,1898-10-29,WV,R,No,1947-01-03,48.2
272,80,house,D000175,Charles,Bennett,Deane,,1898-11-01,NC,D,No,1947-01-03,48.2
